"Source:","C:\Users\jerek\Documents\KiCad\inverterV4\inverterV4.kicad_sch"
"Date:","07/11/2023 15:54:52"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","2200uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D17.0mm_P7.50mm","~"
"","","C2","2200uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D17.0mm_P7.50mm","~"
"","","C3","1000uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~"
"","","C4","100uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C5","100uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C6","100uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C7","100uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","D1","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D3","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D4","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D6","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D7","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D8","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
